Index,"Apr82-
Mar83","Apr83-
Oct84","Nov84-
Aug86","Sep86-
Oct86",Nov86,Dec86,"Jan87-
Jun87","Jul87-
Dec87","Jan88-
Dec88","Jan89-
Jun89","Jul89-
Sep89","Oct89-
Dec89","Jan90-
Jul90",Aug90,"Apr91-
Sep91","Oct91-
Jan92","Feb92-
Sep92","Oct92-
Dec92","Jan93-
Feb93","Mar93-
Sep93","Oct93-
Jun96","Jul96-
Dec97","Jan98-
Mar98","Apr98-
Jun98","Jul98-
Mar99","Apr99-
Mar00","Apr00-
Jun00","Jul00-
Sep00","Oct00-
Oct00","Oct00-
Jan01","Feb01-
Mar01","Apr01-
Aug01","Sep01-
Dec01","Jan02-
Dec02",Jan03,"Feb03-
May03","Jun03-
Oct03","Nov03-
Mar04","Apr04-
Jun04",Jul04,"Aug04-
Oct04","Nov04-
Mar05","Mar05-
Jun05","Jul05-
Oct06","Nov06-
Jan07","Feb07-
Oct07","Nov07-
Dec07","Jan08-
Sep08",Oct08,"Nov08-
Dec08","Jan09-Dec11","Jan12- 
Dec15","Jan17-
May17","Jun17-
Dec18","Jan19-
May19","Jun19-
Dec19","Jan20-
Mar20","May20-
Jul20","Aug20-
Dec20","Jan21-
Apr21",May21,Jun21,Jul21,Aug21,Sep21,Oct21,Nov21,Dec21,Jan22,Feb22,Mar22,Apr22,May22,Jun22,Jul22,Aug22,Sep22,Oct22,Nov22
Algeria,650,725,663,663,669,669,635,667,667,695,733,771,827,827,827,nd,760,nd,764,732,750,750,909,50,788,731,788,811,837,853,805,773,741,693,735,782,811,782,750,814,830,862,878,894,59,25,nd,nd,nd,71,nd,nd,1039,1039,1025,1025,1013,816,864,876,887,898,912,922,932,942,952,962,972,982,992,1002,1013,1023,1039,1055,1057,1055,1007
Angola,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,nd,nd,99,nd,nd,1673,1673,1481,1481,1481,1180,1249,1267,1283,1298,1319,1333,1348,1363,1377,1392,1406,1421,1435,1450,1465,1480,1502,1525,1529,1525,1455
Congo,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,315,315,311,251,266,269,273,276,281,284,287,290,293,296,300,303,306,309,312,315,320,325,325,325,310
Equatorial Guinea,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,178,123,123,122,98,104,105,107,108,110,111,112,114,115,116,117,118,120,121,122,123,125,127,127,127,121
Gabon,150,150,137,137,160,160,152,159,159,166,175,184,197,197,285,nd,273,nd,293,281,287,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,193,193,181,181,179,144,153,155,157,159,161,163,165,166,168,170,172,173,175,177,179,181,183,186,187,186,177
IR Iran,1200,2400,2300,2300,2317,2317,2255,2369,2369,2640,2783,2926,3140,3140,3217,nd,3184,nd,3490,3340,3600,3600,3942,140,3318,3359,--,3727,3844,3917,3698,3552,3406,3186,3377,3597,3729,3597,3450,3744,3817,3964,4037,4110,176,73,nd,nd,nd,199,nd,nd,3797,3797,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Iraq,1200,1200,1200,1200,--,--,1466,1540,--,2640,2783,2926,3140,3140,--,nd,505,nd,500,400,400,1200,1314,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,nd,4351,4351,4512,4512,4462,3592,3804,3857,3905,3954,4016,4061,4105,4149,4193,4237,4281,4325,4370,4414,4461,4509,4580,4651,4663,4651,4431
Kuwait,800,1050,900,900,921,999,948,996,996,1037,1093,1149,1500,1500,--,nd,812,nd,1500,1600,2000,2000,2190,125,1980,1836,1980,2037,2101,2141,2021,1941,1861,1741,1845,1966,2038,1966,1886,2046,2087,2167,2207,2247,100,42,nd,nd,nd,132,nd,nd,2707,2707,2724,2724,2669,2168,2297,2329,2358,2387,2425,2451,2478,2505,2532,2558,2585,2612,2639,2665,2694,2724,2768,2811,2818,2811,2676
Libya,750,1100,990,990,999,999,948,996,996,1037,1093,1149,1233,1233,1425,nd,1395,nd,1409,1350,1390,1390,1522,80,1323,1227,1323,1361,1404,1431,1350,1296,1242,1162,1232,1312,1360,1312,1258,1365,1392,1446,1473,1500,72,30,nd,nd,nd,89,nd,nd,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Nigeria,1300,1300,1300,1300,1304,1304,1238,1301,1301,1355,1428,1501,1611,1611,1840,nd,1751,nd,1857,1780,1865,1865,2042,125,2033,1885,2033,2091,2157,2198,2075,1993,1911,1787,1894,2018,2092,2018,1936,2101,2142,2224,2265,2306,100,42,nd,nd,nd,113,nd,nd,--,--,1685,1774,1753,1412,1495,1516,1535,1554,1579,1596,1614,1631,1649,1666,1683,1701,1718,1735,1753,1772,1799,1826,1830,1826,1742
Saudi Arabia,7150,5000,4353,4353,4353,4353,4133,4343,4343,4524,4769,5014,5380,5380,8034,nd,7887,nd,8395,8000,8000,8000,8761,300,8023,7438,8023,8253,8512,8674,8189,7865,7541,7053,7476,7963,8256,7963,7638,8288,8450,8775,8937,9099,380,158,nd,nd,nd,466,nd,nd,10058,10058,10311,10311,10144,8492,8993,9119,9232,9347,9495,9600,9704,9809,9913,10018,10122,10227,10331,10436,10549,10663,10833,11004,11030,11004,10478
United Arab Emirates,1000,1100,950,950,950,950,902,948,948,988,1041,1094,1095,1500,2320,nd,2244,nd,2260,2161,2161,2161,2366,125,2157,2000,2157,2219,2289,2333,2201,2113,2025,1894,2007,2138,2217,2138,2051,2225,2269,2356,2400,2444,101,42,nd,nd,nd,134,nd,nd,2874,2874,3072,3072,3012,2446,2590,2626,2659,2692,2735,2765,2795,2825,2855,2885,2916,2946,2976,3006,3040,3075,3127,3179,3186,3179,3019
Venezuela,1500,1675,1555,1555,1574,1574,1495,1571,1571,1636,1724,1812,1945,1945,2235,nd,2147,nd,2360,2257,2359,2359,2583,200,2845,2720,2845,2926,3019,3077,2902,2786,2670,2497,2647,2819,2923,2819,2704,2934,2992,3107,3165,3223,138,57,nd,nd,nd,129,nd,nd,1972,1972,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
OPEC,15700,15700,14348,14348,,,14172,14890,,16718,17622,18526,20068,20473,,"23,650*",20958,"24,200*",22828,21901,22812,23325,25630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,664c","28,842c","25,429d","25,518d","25,146d","20,599d","21,815d","22,119d","22,396d","22,673d","23,033d","23,286d","23,540d","23,794d","24,047d","24,300d","24,554d","24,808d","25,062d","25,315d","25,588d","25,865d","26,276d","26,689d","26,752d","26,689d","25,416d"
OPEC excl Iraq,,,,,13247,13325,,,13350,,,,,,"20,183a",,,,,,,,,1145,22467,21196,"19,149b",23425,24163,24624,23241,22319,21397,20013,21213,22595,23425,22595,21673,23517,23979,24901,25362,25823,,,,,,1432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPEC excl Angola and Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1126,469,500#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,